cat_ID_con,Latitude,Longitude
Cook_Inlet_75004200000901,60.2751498038011,-149.674870210256
Cook_Inlet_75004200001724,60.2366575681802,-149.653829532476
Cook_Inlet_75004200000437,59.9590952442236,-149.72256410387
Cook_Inlet_75004200001493,59.9838934723644,-149.02419058808
Cook_Inlet_75004200009084,60.1297906742084,-149.370884389626
Cook_Inlet_75004200003619,59.5507016725347,-150.647016127989
Cook_Inlet_75004200001047,59.5159244367328,-150.642359402504
Cook_Inlet_75004200016346,59.9057912942345,-149.56618192996
Cook_Inlet_75004200010717,59.6822402936343,-150.103750240026
Cook_Inlet_75004200010096,59.5286382950539,-150.4744258
Cook_Inlet_75004200003399,59.3556938066627,-150.860388650269
Cook_Inlet_75004200000722,60.0456853131112,-149.124986760914
Cook_Inlet_75004200000726,60.0317318237085,-148.531345581973
Cook_Inlet_75004200012986,59.6153904544014,-150.492674301075
Cook_Inlet_75004200008847,59.2774877612835,-150.965893726885
Cook_Inlet_75004200010465,59.1642207209163,-151.697139654512
Cook_Inlet_75004200014411,59.2477520231157,-151.45167355858
Cook_Inlet_75004200012680,60.0442834472289,-149.03379270726
Cook_Inlet_75004200000559,60.0050391798679,-148.473310096493
Cook_Inlet_75004200007843,59.8381403275067,-149.769418993064
Cook_Inlet_75004200009093,59.3119115177888,-151.341436089792
Cook_Inlet_75004200008970,59.7562652473313,-149.85427744243
Cook_Inlet_75004200005429,60.2662967398589,-149.692248108969
Cook_Inlet_75004200012771,59.2701434589674,-151.405617479173
Cook_Inlet_75004200012099,60.0689885698931,-149.031865097913
Cook_Inlet_75004200001003,59.5450693015339,-150.326050567845
Cook_Inlet_75004200000848,59.7765268058828,-149.906206646493
Cook_Inlet_75004200011012,59.9547040906473,-148.736569750205
Cook_Inlet_75004200006975,59.9411483703588,-148.669898542688
Cook_Inlet_75004200005415,60.2392678123641,-149.628158040491
Cook_Inlet_75004200000064,60.1352725173005,-149.401065524284
Cook_Inlet_75004200001191,59.2308965562478,-151.582660110134
Cook_Inlet_75004200001574,59.3906167439875,-150.633013527203
Cook_Inlet_75004200003989,60.1740473394637,-149.497584584506
Cook_Inlet_75004200002199,60.1254192548456,-149.380005831635
Cook_Inlet_75004200005203,60.0818933267477,-149.336511625286
Cook_Inlet_75004200001716,59.9445460160371,-149.518221421164
Cook_Inlet_75004200008853,59.3266427536352,-151.046336501599
Cook_Inlet_75004200008845,59.4346938239366,-150.737890280621
Cook_Inlet_75004200005283,59.9387354491185,-148.876398793245
Cook_Inlet_75004200005907,60.0154146385289,-149.287886816113
Cook_Inlet_75004300004332,60.0507569011508,-151.657980850288
Cook_Inlet_75004300005723,59.4059662828372,-151.277407485626
Cook_Inlet_75004300006970,59.8144540600706,-150.989616097502
Cook_Inlet_75004300002057,59.9900122409153,-150.760710621034
Cook_Inlet_75004300005518,59.9599736804218,-151.49152241064
Cook_Inlet_75004300004701,60.3035046895062,-151.261854650449
Cook_Inlet_75004300004365,60.0076374198295,-151.621691670056
Cook_Inlet_75004300006839,59.6825863571316,-151.117065521002
Cook_Inlet_75004300007978,59.7619779743894,-151.009421723954
Cook_Inlet_75004300007859,59.6574291317984,-151.137623326002
Cook_Inlet_75004300005004,59.7928297713585,-150.914655061716
Cook_Inlet_75004300005103,60.1567496884186,-150.691885778362
Cook_Inlet_75004300000311,59.7508510340302,-151.503623650237
Cook_Inlet_75004300008012,59.7650550745509,-150.959578670456
Cook_Inlet_75004300001135,59.3487518988843,-151.930715335376
Cook_Inlet_75004300007259,59.8864892722581,-151.788064578719
Cook_Inlet_75004300001162,59.7761012487472,-151.828220970747
Cook_Inlet_75004300002654,60.1595449075504,-151.308415475162
Cook_Inlet_75004300006302,59.3248782572435,-151.77913908235
Cook_Inlet_75004300002547,59.4352300640265,-151.414283319531
Cook_Inlet_75004300006726,59.5492625570038,-151.229942136404
Cook_Inlet_75004300003713,59.982053534692,-151.240699552393
Cook_Inlet_75004300002688,60.3858594925866,-151.276872984017
Cook_Inlet_75004300000754,60.2151784769595,-151.126183359637
Cook_Inlet_75004300003311,60.0003074289736,-151.651064824411
Cook_Inlet_75004300002834,60.238068968834,-151.166130252988
Cook_Inlet_75004300001258,60.0322897044698,-151.697921408681
Cook_Inlet_75004300007331,59.3883120270268,-151.684931355809
Cook_Inlet_75004300001638,59.5478208173114,-151.302377294934
Cook_Inlet_75004300002755,59.9928400587321,-151.231276456214
Cook_Inlet_75004300005625,59.6826923646166,-151.37104309819
Cook_Inlet_75004300006594,59.5421068221872,-151.371884645954
Cook_Inlet_75004300006376,59.7101461102052,-151.62979135996
Cook_Inlet_75004300004090,60.1215690670053,-150.604333504103
Cook_Inlet_75004300002183,59.2385457539926,-151.871361095136
Cook_Inlet_75004300006207,59.4023361604303,-151.651215598655
Cook_Inlet_75004300002023,59.8928707480231,-150.862186344679
Cook_Inlet_75004300004018,60.1462573963022,-150.909374078707
Cook_Inlet_75004300000582,60.3508560710175,-151.252911672371
Cook_Inlet_75004300005478,60.0568476409736,-151.545048472074
Cook_Inlet_75004300008120,60.2318450694533,-150.695923204526
Cook_Inlet_75004300000022,59.9596108271813,-150.70818372888
Cook_Inlet_75004300002181,59.4100693276512,-151.885482272701
Cook_Inlet_75004300002027,59.8895229316483,-150.852816467484
Cook_Inlet_75004300006012,60.1505848409615,-150.999117538658
Cook_Inlet_75004300002197,59.7770785865637,-151.863134021041
Cook_Inlet_75004300005952,59.7948978002785,-151.050318157934
Cook_Inlet_75004300001228,59.7989384260466,-151.735112636877
Cook_Inlet_75004300006149,60.1038298789992,-150.617246549546
Cook_Inlet_75004300004452,59.7567510210973,-151.508539982861
Cook_Inlet_75004300007473,59.6382572791232,-151.521897353233
Cook_Inlet_75004300004989,59.816547260379,-150.940305020496
Cook_Inlet_75004300004326,59.4736635582972,-151.644192068705
Cook_Inlet_75004300005307,59.2239879893387,-151.705996123761
Cook_Inlet_75004300005646,59.4608665486997,-151.330513557875
Cook_Inlet_75004300003251,59.3112248094422,-151.780545082244
Cook_Inlet_75004300006013,60.2917558373716,-150.983822902355
Cook_Inlet_75004400008879,60.5516619091782,-151.270481888847
Cook_Inlet_75004400008242,60.4570673109133,-149.349808518233
Cook_Inlet_75004400007224,60.817194006022,-148.987333885854
Cook_Inlet_75004400011230,60.274555532665,-149.341938688198
Cook_Inlet_75004400002953,60.7330092059929,-150.690656852188
Cook_Inlet_75004400001616,60.477899763172,-150.648355072111
Cook_Inlet_75004400000862,60.433059725105,-149.338804616743
Cook_Inlet_75004400007512,60.5388580795589,-150.755694269781
Cook_Inlet_75004400010175,60.8428360078917,-148.979792095172
Cook_Inlet_75004400006033,60.425729590334,-150.778794051511
Cook_Inlet_75004400006433,60.7505597963155,-149.708159060704
Cook_Inlet_75004400009198,60.6373913913701,-150.098868904136
Cook_Inlet_75004400010610,60.7299185081581,-150.26610866521
Cook_Inlet_75004400007465,60.7828085849138,-151.080075575456
Cook_Inlet_75004400001569,60.4988309009026,-150.81013752183
Cook_Inlet_75004400010402,60.6374411093618,-151.108077125688
Cook_Inlet_75004400004652,60.6671953810154,-150.505338795603
Cook_Inlet_75004400004450,60.6745235471435,-150.431857911613
Cook_Inlet_75004400006170,60.9293657434688,-150.244148624272
Cook_Inlet_75004400008856,60.4151017998561,-149.336224034184
Cook_Inlet_75004400004455,60.6846655767355,-150.171602745512
Cook_Inlet_75004400011676,60.8214883665388,-148.961081087603
Cook_Inlet_75004400010754,60.4852254225457,-149.9997245406
Cook_Inlet_75004400002950,60.4996975954725,-149.893433468077
Cook_Inlet_75004400001134,60.8780908335829,-149.161280187765
Cook_Inlet_75004400010270,60.9468488142944,-148.843707328485
Cook_Inlet_75004400004680,60.2420143800675,-150.357685847527
Cook_Inlet_75004400007830,60.9338182950749,-149.927203579763
Cook_Inlet_75004400001464,60.7258766050286,-149.277526778939
Cook_Inlet_75004400002279,60.8996248627853,-149.426355191728
Cook_Inlet_75004400003189,60.8549707396482,-150.50312369689
Cook_Inlet_75004400011320,60.7153186271954,-149.28643631626
Cook_Inlet_75004400005660,60.8466494305889,-149.058663415996
Cook_Inlet_75004400008899,60.5404553804784,-151.146967580397
Cook_Inlet_75004400001136,60.9367902456261,-149.171838621562
Cook_Inlet_75004400000334,60.4378487044276,-150.187833827459
Cook_Inlet_75004400010328,60.4813424816846,-149.850374266135
Cook_Inlet_75004400000370,60.4018029338643,-150.126088056531
Cook_Inlet_75004400003230,60.2608877162951,-150.356800070642
Cook_Inlet_75004400004743,60.9137490351383,-150.19664343293
Cook_Inlet_75004400005985,60.4805454334282,-151.021346511494
Cook_Inlet_75004400005909,60.5176134579156,-150.710231731468
Cook_Inlet_75004400009562,60.3829639389278,-149.515393873204
Cook_Inlet_75004400010320,60.4633640536054,-151.142126448911
Cook_Inlet_75004400004457,60.8188008331395,-150.043999901022
Cook_Inlet_75004400010352,60.8603460768799,-149.598219687222
Cook_Inlet_75004400010337,60.6248072727476,-150.585530971589
Cook_Inlet_75004400006692,60.9850844166003,-149.412456664161
Cook_Inlet_75004400005312,60.3366044840714,-149.35285247917
Cook_Inlet_75004400005924,60.8889305930479,-150.008853914752
Cook_Inlet_75004400011086,60.9919011805229,-149.484809274118
Cook_Inlet_75004400003768,60.7676500165135,-149.435743290337
Cook_Inlet_75004400011755,60.788738850119,-148.845481157595
Cook_Inlet_75004400008216,60.4133207177197,-149.364738947892
Cook_Inlet_75004400001652,60.4508386784347,-150.502453841419
Cook_Inlet_75004400010699,60.5452948073878,-150.100797560705
Cook_Inlet_75004400010221,60.9015009933214,-148.908534466934
Cook_Inlet_75004400003876,60.5363020431504,-149.323741610764
Cook_Inlet_75004400009792,60.2697833532266,-149.299341374783
Cook_Inlet_75004400001670,60.4048582495305,-150.463631981469
Cook_Inlet_75004400003165,60.3567417052529,-150.581445420356
Cook_Inlet_75004400000627,60.9187384266092,-149.64736050329
Cook_Inlet_75004400009412,60.4797662224341,-149.703431177616
Cook_Inlet_75004400005344,60.5391287898409,-149.323259677252
Cook_Inlet_75004400008192,60.7804019894685,-149.424938419812
Cook_Inlet_75004400002258,60.979522091485,-149.46308624544
Cook_Inlet_75004400010422,60.8023862030793,-151.018286611704
Cook_Inlet_75004400001443,60.8650833272409,-150.801061262157
Cook_Inlet_75004400001656,60.9940322064879,-150.507087943089
Cook_Inlet_75004400002041,60.4961018761228,-149.676190887404
Cook_Inlet_75004400011322,60.7142971691927,-149.270479595214
Cook_Inlet_75004400007550,60.6121423573206,-150.575408145561
Cook_Inlet_75004400004850,60.9120545901389,-149.983001519185
Cook_Inlet_75004400008859,60.763678115559,-150.675556051232
Cook_Inlet_75004400009331,60.4692263352415,-149.885678080914
Cook_Inlet_75004400000153,60.7113484298315,-150.854989467865
Cook_Inlet_75004400010386,60.5194548628517,-151.154350820461
Cook_Inlet_75004400009308,60.3693695607436,-149.894506074915
Cook_Inlet_75004400003815,60.3404754882757,-149.372823317648
Cook_Inlet_75004400007996,60.8348187275438,-149.62071760163
Cook_Inlet_75004400010639,60.4371017935619,-150.209100987122
Cook_Inlet_75004400001521,60.4828886293678,-151.058017923259
Cook_Inlet_75004400010351,60.5462944542267,-149.608579744597
Cook_Inlet_75004400004166,60.9153491846389,-149.076075948959
Cook_Inlet_75004400000141,60.8467654239551,-150.899276272275
Cook_Inlet_75004400002954,60.5979970477589,-150.667301341735
Cook_Inlet_75004400007686,60.778610714702,-150.184727694268
Cook_Inlet_75004400004707,60.7498431165899,-150.261077084602
Cook_Inlet_75004400007493,60.4919493448753,-150.862170079195
Cook_Inlet_75004400010627,60.7630161583046,-150.206663565885
Cook_Inlet_75004400004344,60.89397047443,-148.914258276419
Cook_Inlet_75004400004213,60.6892343992746,-149.038932624685
Cook_Inlet_75004400007351,60.9123499416727,-148.793109929334
Cook_Inlet_75004400002957,60.5900133339215,-150.570347996759
Cook_Inlet_75004400000171,60.9352113907657,-150.700212251713
Cook_Inlet_75000100004048,61.4609113748172,-149.404905083389
Cook_Inlet_75000100001396,61.2251504943725,-149.596196373035
Cook_Inlet_75000100001872,61.2080849413242,-149.924296326269
Cook_Inlet_75000100002482,61.2560197911261,-150.130975498713
Cook_Inlet_75000100004383,61.5390971175851,-149.841195629498
Cook_Inlet_75000100001880,61.1530711968319,-149.871330145691
Cook_Inlet_75000100002463,61.2472485287925,-149.814800465165
Cook_Inlet_75000100001262,61.5558609149239,-149.87708554609
Cook_Inlet_75000100003972,61.2953864115592,-149.472021786731
Cook_Inlet_75000100000252,61.4120538670064,-149.490880632241
Cook_Inlet_75000100003757,61.3753762718382,-149.887687366364
Cook_Inlet_75000100002688,61.3934270928705,-149.530016495345
Cook_Inlet_75000100001892,61.1716482642543,-149.826013252124
Cook_Inlet_75000100001538,61.5289168257531,-149.41609294763
Cook_Inlet_75000100001408,61.4978845320504,-149.593668914151
Cook_Inlet_75000100001685,61.1796565661949,-149.191177040221
Cook_Inlet_75000100004381,61.0777324342026,-149.826908509901
Cook_Inlet_75000100000652,61.4413931830248,-149.790064288531
Cook_Inlet_75000100003787,61.5617751431705,-149.784606422399
Cook_Inlet_75000100002741,61.2862514397414,-149.482335773514
Cook_Inlet_75000100003438,61.5133444784319,-149.344350453238
Cook_Inlet_75000100001315,61.3274960920348,-149.738611096218
Cook_Inlet_75000100000409,61.4799107290247,-149.254917276783
Cook_Inlet_75000100002858,61.2163246385783,-149.286457631259
Cook_Inlet_75000100000953,61.4395325338241,-149.358474393881
Cook_Inlet_75000100001864,61.1327312153365,-149.951708608329
Cook_Inlet_75000400003844,61.7874024420995,-147.653226975167
Cook_Inlet_75000400019561,61.7095889726622,-148.850619798254
Cook_Inlet_75000400036699,61.7842772493749,-147.999013687397
Cook_Inlet_75000400002218,61.7894486322961,-148.197998221319
Cook_Inlet_75000400033841,61.5476466935813,-148.915794471314
Cook_Inlet_75000400015018,61.2140736600381,-148.671300219263
Cook_Inlet_75000400019625,61.4328715782378,-148.812766509887
Cook_Inlet_75000400024876,61.4014403713634,-148.600454467901
Cook_Inlet_75000400014699,61.4933668269636,-148.828385862814
Cook_Inlet_75000400014408,61.459010939765,-148.772854332613
Cook_Inlet_75000400004841,61.4875866564576,-149.093161856325
Cook_Inlet_75000400004888,61.6557051722413,-149.030908513037
Cook_Inlet_75000400009917,61.4880417930487,-148.804175228777
Cook_Inlet_75000400034535,61.3250652350147,-148.633027900691
Cook_Inlet_75000400000017,61.4977534552106,-149.268328306687
Cook_Inlet_75000400028963,61.674371658587,-149.049979026853
Cook_Inlet_75000400000163,61.7045774844357,-148.952324171477
Cook_Inlet_75000400024863,61.7415502145919,-148.582727529273
Cook_Inlet_75000400010059,61.7395563708665,-148.72919729097
Cook_Inlet_75000400014878,61.728763973839,-148.738318718562
Cook_Inlet_75000400024244,61.5151690326872,-148.924640584596
Cook_Inlet_75000400009643,61.6818440661118,-149.043624368665
Cook_Inlet_75000400005921,61.7890242306356,-148.472076586852
Cook_Inlet_75000400001221,61.7878125569523,-148.440592972644
Cook_Inlet_75000400034853,61.7699521184031,-148.464538949425
Cook_Inlet_75000400035016,61.774232929241,-148.429550509681
Cook_Inlet_75000700031594,62.567248133893,-148.068190901807
Cook_Inlet_75000700038756,62.3446101612625,-150.145541908156
Cook_Inlet_75000700036533,62.7726818964335,-148.672236580464
Cook_Inlet_75000700036401,62.9509220684897,-149.100004410861
Cook_Inlet_75000700033509,62.3844951652573,-150.169726465398
Cook_Inlet_75000700031070,62.7914262602482,-149.151800540397
Cook_Inlet_75000700036133,62.4818387917189,-147.563850714879
Cook_Inlet_75000700036713,62.8275725985219,-148.251537700365
Cook_Inlet_75000700049611,62.8216794683957,-149.175132065561
Cook_Inlet_75000700036219,62.7159560179074,-149.811646642654
Cook_Inlet_75000700049477,62.7968427309974,-149.666113311143
Cook_Inlet_75000700036340,62.8009686514045,-149.288561732667
Cook_Inlet_75000700041984,62.8302625993448,-148.258487470907
Cook_Inlet_75000700044263,62.8294270989982,-149.378185511704
Cook_Inlet_75000700049829,62.7567697002121,-148.597376907952
Cook_Inlet_75000700049481,62.7851085276153,-149.652932409533
Cook_Inlet_75000700031053,62.9318298523893,-149.18580298267
Cook_Inlet_75000700036399,62.9559817368523,-149.119257649452
Cook_Inlet_75000700041653,62.8323055766234,-149.05243290042
Cook_Inlet_75000700036455,62.7679271200338,-148.980015264847
Cook_Inlet_75000700038833,62.7605773724868,-149.67518034917
Cook_Inlet_75000700044264,62.8346124769346,-149.370577645462
Cook_Inlet_75000700031304,62.8231203057828,-148.615446702011
Cook_Inlet_75000700032275,62.6397961738388,-147.384127068267
Cook_Inlet_75000700033653,62.8985987953554,-149.457213654908
Cook_Inlet_75000700046720,62.5816982764585,-150.051366237981
Cook_Inlet_75000700044836,62.7003653816105,-148.030354344337
Cook_Inlet_75000700045019,62.7671142017866,-147.890371614285
Cook_Inlet_75000700042261,62.7719825472306,-147.954403973131
Cook_Inlet_75000700039998,62.6964516777396,-147.593121421944
Cook_Inlet_75000700031253,62.7821959620843,-148.729093811687
Cook_Inlet_75000500013783,63.2809712017828,-149.129303661979
Cook_Inlet_75000500009993,63.1312234352139,-149.436508948783
Cook_Inlet_75000500003409,63.0539783814434,-149.598917915513
Cook_Inlet_75000500001552,63.1100837969303,-149.520008440067
Cook_Inlet_75000500008473,62.6751159393784,-150.339049859502
Cook_Inlet_75000500015553,63.1181538995716,-149.52059081542
Cook_Inlet_75000500009750,63.1596631080636,-149.151328186022
Cook_Inlet_75000500009358,62.9746804067874,-149.704439031267
Cook_Inlet_75000500011225,62.9049504840959,-149.761746089904
Cook_Inlet_75000500005048,62.9032621935682,-149.871149080135
Cook_Inlet_75000500013555,63.0519231272136,-149.580662691164
Cook_Inlet_75000500008023,62.7273578873778,-150.281589797748
Cook_Inlet_75000500006217,62.6271309490576,-150.680088674235
Cook_Inlet_75000500012136,62.6596378621106,-150.833303431809
Cook_Inlet_75000500010561,62.691309705003,-150.242647670651
Cook_Inlet_75000500002477,62.6735285344977,-150.27901797505
Cook_Inlet_75000500008026,62.3965889771429,-150.232803743472
Cook_Inlet_75000500000009,62.8564402530215,-150.042479098405
Cook_Inlet_75000500007429,62.9768903584198,-149.683203663506
Cook_Inlet_75000500011984,62.6289433582155,-150.219731476591
Cook_Inlet_75000500002272,62.564153826618,-150.477281128323
Cook_Inlet_75000500012337,62.5453727990739,-150.509617685647
Cook_Inlet_75000500006883,62.8146040873052,-150.006246999688
Cook_Inlet_75000500012614,62.5247464571413,-150.226697379404
Cook_Inlet_75000500009975,62.7159720683385,-150.20282985458
Cook_Inlet_75000500003515,63.194775978457,-149.492266526326
Cook_Inlet_75000500002240,62.5496255214562,-150.50174681611
Cook_Inlet_75000300010038,62.4024205746812,-148.539227433352
Cook_Inlet_75000300024659,62.3452845492936,-148.482047516693
Cook_Inlet_75000300022407,62.5142510824386,-149.269816391566
Cook_Inlet_75000300003827,62.5404281213426,-149.822523764173
Cook_Inlet_75000300004778,62.5967354334579,-149.061165354134
Cook_Inlet_75000300022808,62.6049519622333,-149.095107649084
Cook_Inlet_75000300016498,62.5154770858557,-148.80471659992
Cook_Inlet_75000300014777,62.6204106153963,-149.588399498108
Cook_Inlet_75000300024174,62.4740590012124,-148.648048852586
Cook_Inlet_75000300018247,62.4520994712433,-149.992483895638
Cook_Inlet_75000300001605,62.6612074852062,-148.947028516886
Cook_Inlet_75000300015640,62.6025810658678,-149.057059907409
Cook_Inlet_75000300009654,62.4629426276832,-148.671348641052
Cook_Inlet_75000300005649,62.5093945367643,-148.806261893385
Cook_Inlet_75000300005143,62.6659941847108,-148.955008060687
Cook_Inlet_75000300010998,62.5370249734006,-149.813555858488
Cook_Inlet_75000300000325,62.6235980696115,-149.615861917503
Cook_Inlet_75000300014878,62.4401039948267,-149.470043004374
Cook_Inlet_75000300000271,62.4570347891434,-149.664935470908
Cook_Inlet_75000300028089,62.4169422780243,-148.546505134623
Cook_Inlet_75000300011642,62.352389289331,-149.146965029573
