OBJECTID,cat_ID_con,NHDPlusID,dist_catch_coast_km,TotDASqKm
-1,Cook_Inlet_75004400008879,75004400008879.000000000000000,0.129133918616286,23.32322502
-1,Cook_Inlet_75004400008242,75004400008242.000000000000000,33.035154369242647,112.78277531
-1,Cook_Inlet_75004400007224,75004400007224.000000000000000,0.018924864549157,322.32710002
-1,Cook_Inlet_75004400008539,75004400008539.000000000000000,23.968172889998115,103.00622492
-1,Cook_Inlet_75004400011230,75004400011230.000000000000000,16.691151903296774,88.33480009
-1,Cook_Inlet_75004400002953,75004400002953.000000000000000,17.510228734284588,89.88210012
-1,Cook_Inlet_75004400001616,75004400001616.000000000000000,28.231048621723733,534.2142001
-1,Cook_Inlet_75004400000862,75004400000862.000000000000000,32.479704089889104,28.92319979
-1,Cook_Inlet_75004400007512,75004400007512.000000000000000,22.045181924194186,667.32679986
-1,Cook_Inlet_75004400010175,75004400010175.000000000000000,0.171686819782097,427.53645012
-1,Cook_Inlet_75004400006033,75004400006033.000000000000000,23.170766656454237,90.74697485
-1,Cook_Inlet_75004400006433,75004400006433.000000000000000,19.396234650613938,154.06262496
-1,Cook_Inlet_75004400009198,75004400009198.000000000000000,30.569187062830910,51.8061249
-1,Cook_Inlet_75004400010610,75004400010610.000000000000000,21.611492702980915,161.71887492
-1,Cook_Inlet_75004400007465,75004400007465.000000000000000,0.129645012566661,98.03487499
-1,Cook_Inlet_75004400001569,75004400001569.000000000000000,19.091904218415188,4569.37957581
-1,Cook_Inlet_75004400010402,75004400010402.000000000000000,11.461216951551148,47.33312509
-1,Cook_Inlet_75004400004652,75004400004652.000000000000000,29.747080405511657,168.01012489
-1,Cook_Inlet_75004400004450,75004400004450.000000000000000,30.318331318951824,72.00252498
-1,Cook_Inlet_75004400009109,75004400009109.000000000000000,0.864591335607376,29.20214999
-1,Cook_Inlet_75004400006170,75004400006170.000000000000000,0.551589026823771,29.36567489
-1,Cook_Inlet_75004400008856,75004400008856.000000000000000,32.147463116989208,87.72507521
-1,Cook_Inlet_75004400004455,75004400004455.000000000000000,25.694359885442061,175.57854991
-1,Cook_Inlet_75004400011676,75004400011676.000000000000000,0.482598856644394,141.24160009
-1,Cook_Inlet_75004400010754,75004400010754.000000000000000,47.620711406564361,163.9089498
-1,Cook_Inlet_75004400002950,75004400002950.000000000000000,46.729050158140751,141.63119992
-1,Cook_Inlet_75004400001134,75004400001134.000000000000000,0.180293951958056,46.56142511
-1,Cook_Inlet_75004400010270,75004400010270.000000000000000,13.054445955289921,97.90834979
-1,Cook_Inlet_75004400004680,75004400004680.000000000000000,46.751062052834243,146.06685001
-1,Cook_Inlet_75004400007830,75004400007830.000000000000000,0.014511515444414,41.04265001
-1,Cook_Inlet_75004400001464,75004400001464.000000000000000,18.016536178447861,74.912825
-1,Cook_Inlet_75004400002279,75004400002279.000000000000000,0.237672400649267,683.8621748
-1,Cook_Inlet_75004400003189,75004400003189.000000000000000,14.231328448142632,107.59684975
-1,Cook_Inlet_75004400011320,75004400011320.000000000000000,19.225130498975087,139.17214996
-1,Cook_Inlet_75004400005660,75004400005660.000000000000000,0.041930870301266,55.98184976
-1,Cook_Inlet_75004400008899,75004400008899.000000000000000,1.486401271509775,5463.28335093
-1,Cook_Inlet_75004400001136,75004400001136.000000000000000,0.067498202490214,153.07952536
-1,Cook_Inlet_75004400000334,75004400000334.000000000000000,53.107178160835197,2242.64262573
-1,Cook_Inlet_75004400010328,75004400010328.000000000000000,45.985526827138649,1686.19132592
-1,Cook_Inlet_75004400000370,75004400000370.000000000000000,49.292578331529576,485.60585006
-1,Cook_Inlet_75004400003230,75004400003230.000000000000000,48.675620697440557,158.77735006
-1,Cook_Inlet_75004400008887,75004400008887.000000000000000,0.289897407034827,11.45337504
-1,Cook_Inlet_75004400004743,75004400004743.000000000000000,0.818401706178807,84.4343251
-1,Cook_Inlet_75004400005985,75004400005985.000000000000000,8.519335763320072,5030.6591009
-1,Cook_Inlet_75004400005909,75004400005909.000000000000000,24.439970639492383,3828.42565097
-1,Cook_Inlet_75004400009562,75004400009562.000000000000000,28.808116145047698,45.75492508
-1,Cook_Inlet_75004400010320,75004400010320.000000000000000,6.143308299566268,66.4171251
-1,Cook_Inlet_75004400004457,75004400004457.000000000000000,10.376481386989008,102.63187497
-1,Cook_Inlet_75004400010352,75004400010352.000000000000000,7.068334930259977,53.55604988
-1,Cook_Inlet_75004400010337,75004400010337.000000000000000,30.517178887211941,34.47180012
-1,Cook_Inlet_75004400006692,75004400006692.000000000000000,2.767538403782817,70.47922506
-1,Cook_Inlet_75004400005312,75004400005312.000000000000000,23.359701842721233,369.9331505
-1,Cook_Inlet_75004400005924,75004400005924.000000000000000,3.181280555989607,772.07784982
-1,Cook_Inlet_75004400011086,75004400011086.000000000000000,1.131693652454685,47.50367513
-1,Cook_Inlet_75004400003768,75004400003768.000000000000000,14.723402183406520,248.63094981
-1,Cook_Inlet_75004400011755,75004400011755.000000000000000,6.880344638155736,105.59030015
-1,Cook_Inlet_75004400008216,75004400008216.000000000000000,31.773707773785173,552.06970015
-1,Cook_Inlet_75004400001652,75004400001652.000000000000000,36.685838277902725,3168.25892572
-1,Cook_Inlet_75004400010699,75004400010699.000000000000000,40.828219128034256,45.74432512
-1,Cook_Inlet_75004400010221,75004400010221.000000000000000,7.337559434899693,198.24492487
-1,Cook_Inlet_75004400003876,75004400003876.000000000000000,32.993477198938088,274.21302508
-1,Cook_Inlet_75004400009792,75004400009792.000000000000000,16.854511539443681,242.41540012
-1,Cook_Inlet_75004400001670,75004400001670.000000000000000,40.122957964814411,33.13237496
-1,Cook_Inlet_75004400003165,75004400003165.000000000000000,36.404770155726276,449.13992512
-1,Cook_Inlet_75004400000627,75004400000627.000000000000000,0.416863468263680,410.58922488
-1,Cook_Inlet_75004400009412,75004400009412.000000000000000,42.166861343162395,285.86355013
-1,Cook_Inlet_75004400002718,75004400002718.000000000000000,13.832012657602275,201.22004998
-1,Cook_Inlet_75004400005344,75004400005344.000000000000000,33.060358581728131,45.00724992
-1,Cook_Inlet_75004400008192,75004400008192.000000000000000,13.209162574334476,319.82265002
-1,Cook_Inlet_75004400002258,75004400002258.000000000000000,0.767764150957052,196.1154748
-1,Cook_Inlet_75004400010422,75004400010422.000000000000000,0.178398500540533,692.97395027
-1,Cook_Inlet_75004400001443,75004400001443.000000000000000,2.543166498665323,66.24957492
-1,Cook_Inlet_75004400001656,75004400001656.000000000000000,0.843531787404684,30.05067499
-1,Cook_Inlet_75004400002041,75004400002041.000000000000000,43.338181461225616,83.98835009
-1,Cook_Inlet_75004400011322,75004400011322.000000000000000,18.764933395528757,55.52055001
-1,Cook_Inlet_75004400007550,75004400007550.000000000000000,31.978162363289893,322.34262488
-1,Cook_Inlet_75004400004850,75004400004850.000000000000000,1.386780431856970,156.30472497
-1,Cook_Inlet_75004400008859,75004400008859.000000000000000,15.597931251027912,301.47942509
-1,Cook_Inlet_75004400009331,75004400009331.000000000000000,45.912531771343247,1415.5495507
-1,Cook_Inlet_75004400000153,75004400000153.000000000000000,13.260449995163038,526.5680752
-1,Cook_Inlet_75004400010386,75004400010386.000000000000000,0.058543410484189,5470.520226
-1,Cook_Inlet_75004400009308,75004400009308.000000000000000,37.490027397185457,67.60019993
-1,Cook_Inlet_75004400003815,75004400003815.000000000000000,23.651199622292150,45.77924993
-1,Cook_Inlet_75004400007996,75004400007996.000000000000000,9.650346132818362,282.57597507
-1,Cook_Inlet_75004400010639,75004400010639.000000000000000,52.824363976429154,68.58409995
-1,Cook_Inlet_75004400001521,75004400001521.000000000000000,6.694341711406799,118.99602488
-1,Cook_Inlet_75004400010351,75004400010351.000000000000000,40.811186766440514,76.91615012
-1,Cook_Inlet_75004400004166,75004400004166.000000000000000,0.950182046633039,18.18142502
-1,Cook_Inlet_75004400000141,75004400000141.000000000000000,0.535401224186235,44.21027509
-1,Cook_Inlet_75004400002954,75004400002954.000000000000000,28.170157571418237,119.95082502
-1,Cook_Inlet_75004400007686,75004400007686.000000000000000,15.397529951359560,72.30734996
-1,Cook_Inlet_75004400004707,75004400004707.000000000000000,19.392024072033429,216.9316
-1,Cook_Inlet_75004400007493,75004400007493.000000000000000,16.382745385444711,352.51259996
-1,Cook_Inlet_75004400010627,75004400010627.000000000000000,17.335732224256592,99.8974001
-1,Cook_Inlet_75004400004344,75004400004344.000000000000000,6.468900235089513,164.24760023
-1,Cook_Inlet_75004400004213,75004400004213.000000000000000,14.543668033146961,60.98154999
-1,Cook_Inlet_75004400007351,75004400007351.000000000000000,12.646194746868158,96.95405006
-1,Cook_Inlet_75004400002957,75004400002957.000000000000000,33.044556183140209,108.87004986
-1,Cook_Inlet_75004400000171,75004400000171.000000000000000,0.589785734900612,110.75582486
